tweet_id,retweet_count,favorite_count 
859607811541651456,1604,18740
859196978902773760,30801,90717
859074603037188101,13884,34152
858860390427611136,8323,0
858843525470990336,3550,15685
858471635011153920,4952,21711
858107933456039936,2979,15888
857989990357356544,2644,16298
857746408056729600,10885,34660
857393404942143489,1689,5982
857263160327368704,4627,20246
857214891891077121,18,230
857062103051644929,177,0
857029823797047296,4115,19169
856602993587888130,10978,0
856543823941562368,2957,16482
856526610513747968,1935,12006
856330835276025856,700,0
856288084350160898,17,526
856282028240666624,6503,28130
855862651834028034,28,352
855860136149123072,1059,5121
855857698524602368,2178,12028
855851453814013952,18256,46148
855818117272018944,5600,27044
855459453768019968,8476,30435
855245323840757760,6184,0
855138241867124737,47,0
854732716440526848,6326,23267
854482394044301312,7114,29885
854365224396361728,4862,19282
854120357044912130,7767,32630
854010172552949760,3274,16540
853760880890318849,6019,29213
853639147608842240,10559,35633
853299958564483072,3721,15897
852936405516943360,2093,0
852912242202992640,1916,9287
852672615818899456,2252,15291
852553447878664193,3669,16786
852311364735569921,10320,33966
852226086759018497,7104,20543
852189679701164033,1662,11774
851953902622658560,10074,0
851861385021730816,23,0
851591660324737024,3632,16666
851464819735769094,7419,24968
851224888060895234,5991,21299
850753642995093505,9729,31929
850380195714523136,2746,13453
850333567704068097,350,3538
850145622816686080,4024,16835
850019790995546112,5148,21098
849776966551130114,7987,31441
849668094696017920,5214,0
849412302885593088,3305,16394
849336543269576704,1990,11801
849051919805034497,8967,43879
848690551926992896,4549,26051
848324959059550208,4840,25593
848213670039564288,786,8457
848212111729840128,3240,16894
847978865427394560,3442,0
847971574464610304,449,0
847962785489326080,5388,24341
847842811428974592,1419,5671
847617282490613760,447,7261
847606175596138505,3583,19454
847251039262605312,4542,21201
847157206088847362,6189,20682
847116187444137987,3378,22207
846874817362120707,4154,20822
846514051647705089,12278,46337
846505985330044928,3267,14637
846153765933735936,9605,32910
846139713627017216,10461,32073
846042936437604353,3066,16610
845812042753855489,9266,30449
845677943972139009,5070,26099
845397057150107648,1915,7934
845306882940190720,5717,24246
845098359547420673,8122,0
844979544864018432,2742,14166
844973813909606400,3412,15716
844704788403113984,10978,40288
844580511645339650,3334,17157
844223788422217728,2338,14192
843981021012017153,3110,15755
843856843873095681,4921,22295
843604394117681152,2930,17598
843235543001513987,6432,22409
842846295480000512,3828,15865
842765311967449089,1356,7035
842535590457499648,3732,18873
842163532590374912,6184,25527
842115215311396866,3230,14606
841833993020538882,16338,0
841680585030541313,8262,26751
841439858740625411,3920,13178
841320156043304961,5798,20638
841314665196081154,5006,16529
841077006473256960,5667,23893
840761248237133825,1872,0
